	CREBBP	CREBBP.1	CREBBP.2	PBX3	RAD21	RAD21.1	CTCF	ELF3	KLF5	ZEB1	PHF8	NMYC	NMYC.1	NMYC.2	BCL6	BCL6.1	BCL6.2	JUN	JUND	ZNF217	ESRRB	EZH1	EZH2	EED	SUZ12	MYC	MYC.1	MYC.2	TP53	PCDH7	BMI1	FUS	TAF15	NANOG	NANOG.1	NANOG.2	NANOG.3	NANOG.4	GATA2	RUNX1	TAL1	GATA2.1	GATA2.2	FOXP1
BP1_19119308_ChIP-ChIP_Hs578T_Human	0.414642857	0.397214286	0.415232143	0.285607143	0.287785714	0.2535	0.283946429	0.335607143	0.343214286	0.338785714	0.478696429	0.256196429	0.22175	0.194678571	0.403946429	0.488964286	0.475678571	0.277803571	0.290857143	0.360214286	0.325	0.492821429	0.57375	0.570089286	0.578017857	0.349696429	0.319910714	0.345875	0.323267857	0.283714286	0.32225	0.324428571	0.370857143	0.265964286	0.295339286	0.248803571	0.310125	0.258625	0.245875	0.181785714	0.220589286	0.354089286	0.408267857	0.377321429
FOXP1_22492998_ChIP-Seq_STRATIUM_Mouse	0.6395	0.590910714	0.630982143	0.536910714	0.559553571	0.596928571	0.542857143	0.490660714	0.485982143	0.512	0.639303571	0.628892857	0.642267857	0.553589286	0.5855	0.603535714	0.539089286	0.488017857	0.487017857	0.484339286	0.637678571	0.565875	0.542732143	0.49175	0.514875	0.562285714	0.507607143	0.535803571	0.529946429	0.554785714	0.55875	0.620464286	0.602017857	0.577625	0.586178571	0.579571429	0.448160714	0.531464286	0.528053571	0.391321429	0.423375	0.414125	0.466196429	0.488017857
E4F1_26484288_ChIP-Seq_MOUSE_EMBRYONIC_FIBROBLAST_Mouse	0.473579545	0.610159091	0.587602273	0.576	0.569636364	0.545636364	0.597590909	0.610386364	0.598022727	0.590340909	0.599715909	0.625647727	0.585215909	0.600659091	0.567511364	0.629420455	0.580238636	0.555306818	0.544261364	0.498511364	0.513454545	0.641045455	0.658568182	0.66	0.651636364	0.508875	0.541261364	0.548352273	0.531465909	0.576727273	0.56125	0.573840909	0.508988636	0.554818182	0.556352273	0.553715909	0.535136364	0.589090909	0.530102273	0.614954545	0.658863636	0.609886364	0.594431818	0.617409091
RBPJ_22232070_ChIP-Seq_NCS_Mouse	0.6510625	0.7121875	0.605125	0.612125	0.4821875	0.6006875	0.6725625	0.815875	0.829125	0.5920625	0.6590625	0.734	0.6743125	0.629625	0.5081875	0.60925	0.54525	0.4600625	0.7649375	0.5626875	0.5771875	0.54675	0.5511875	0.571	0.5734375	0.8404375	0.6594375	0.6475	0.692375	0.71375	0.54525	0.7191875	0.5485625	0.682	0.713625	0.649875	0.837125	0.82125	0.7099375	0.6259375	0.62025	0.571625	0.5786875	0.6395
TCF21_23034159_ChIP-ChIP_E13_GONADS_Rat	0.522441667	0.4913	0.5501	0.5042	0.481808333	0.51665	0.505491667	0.542175	0.536916667	0.5166	0.546175	0.527491667	0.513891667	0.534966667	0.55745	0.50805	0.50475	0.570316667	0.534116667	0.533408333	0.484016667	0.501708333	0.525816667	0.516608333	0.506775	0.426691667	0.509541667	0.509916667	0.499016667	0.575375	0.5561	0.509725	0.444483333	0.473408333	0.470533333	0.505541667	0.496583333	0.4349	0.506958333	0.502466667	0.510408333	0.541175	0.59505	0.431983333
GATA1_22025678_ChIP-Seq_K562_Human	0.491027778	0.530840278	0.550923611	0.437680556	0.448097222	0.4101875	0.419034722	0.487847222	0.513979167	0.504409722	0.491520833	0.431833333	0.479159722	0.463111111	0.517493056	0.540493056	0.449138889	0.445194444	0.459173611	0.517618056	0.496486111	0.545145833	0.607243056	0.551673611	0.586743056	0.415513889	0.388340278	0.395951389	0.498326389	0.430152778	0.45475	0.397916667	0.393340278	0.461159722	0.454472222	0.458138889	0.486548611	0.487833333	0.468638889	0.495611111	0.496798611	0.513277778	0.506076389	0.472729167
HOXA2_22223247_ChIP-Seq_E11.5_EMBRYO_Mouse	0.494784091	0.499863636	0.463909091	0.385875	0.583545455	0.622193182	0.507602273	0.448863636	0.455465909	0.440352273	0.381738636	0.517420455	0.449920455	0.488681818	0.514545455	0.462386364	0.464795455	0.449409091	0.392727273	0.431147727	0.381625	0.474897727	0.503636364	0.524090909	0.510659091	0.472738636	0.444170455	0.410511364	0.387386364	0.419465909	0.636397727	0.69425	0.662238636	0.442340909	0.436011364	0.448886364	0.467375	0.511806818	0.488477273	0.333443182	0.402204545	0.421863636	0.515022727	0.476386364
STAT3_22323479_ChIP-Seq_MACROPHAGE_Mouse	0.54725	0.575679348	0.570070652	0.594836957	0.517652174	0.568331522	0.564309783	0.532880435	0.563244565	0.562766304	0.57051087	0.58661413	0.567271739	0.56751087	0.564961957	0.511402174	0.581483696	0.580065217	0.581896739	0.612804348	0.603891304	0.523423913	0.598027174	0.55888587	0.589836957	0.553	0.626967391	0.630538043	0.613641304	0.595451087	0.629402174	0.588956522	0.603266304	0.621880435	0.615902174	0.621744565	0.687190217	0.591494565	0.581391304	0.545625	0.553913043	0.606076087	0.511	0.625755435
TP63_17297297_ChIP-ChIP_HaCaT_Human	0.433485	0.42315	0.438905	0.64213	0.46637	0.46875	0.453115	0.5954	0.622385	0.603985	0.65697	0.411355	0.434715	0.411285	0.44448	0.3788	0.44055	0.58323	0.5767	0.615155	0.52983	0.446695	0.41191	0.42573	0.43963	0.68107	0.47219	0.482715	0.537135	0.689445	0.656395	0.39227	0.45426	0.46277	0.472755	0.51702	0.549785	0.5091	0.57085	0.48301	0.508595	0.599705	0.53607	0.592835
STAT6_21828071_ChIP-Seq_BEAS2B_Human	0.477899194	0.483201613	0.457604839	0.552552419	0.470959677	0.493072581	0.456112903	0.464354839	0.476471774	0.48858871	0.484431452	0.473725806	0.458923387	0.529995968	0.487693548	0.464149194	0.465592742	0.530133065	0.511866935	0.463096774	0.482439516	0.480931452	0.457024194	0.464197581	0.459508065	0.491395161	0.455270161	0.461157258	0.512604839	0.503830645	0.557423387	0.495907258	0.49341129	0.485697581	0.476725806	0.511584677	0.496229839	0.528520161	0.50333871	0.490907258	0.499427419	0.506431452	0.52725	0.47853629
EZH2_22144423_ChIP-Seq_EOC_Human	0.267679348	0.273858696	0.271076087	0.150538043	0.363532609	0.396641304	0.303418478	0.122831522	0.111755435	0.116978261	0.130581522	0.276288043	0.351869565	0.351521739	0.209304348	0.219266304	0.205086957	0.121130435	0.122815217	0.255951087	0.189184783	0.215222826	0.216141304	0.218684783	0.243597826	0.233788043	0.15088587	0.140141304	0.206625	0.167505435	0.212961957	0.413396739	0.49761413	0.217945652	0.221375	0.27801087	0.295826087	0.306538043	0.264157609	0.369668478	0.36536413	0.35263587	0.406554348	0.384586957
BCL11B_21912641_ChIP-Seq_STHDH_STRIUM_Mouse	0.6219375	0.548201389	0.575131944	0.618875	0.579076389	0.612097222	0.576791667	0.495763889	0.483722222	0.495680556	0.626826389	0.586034722	0.513222222	0.582263889	0.580465278	0.575722222	0.580791667	0.538013889	0.560770833	0.5830625	0.591402778	0.511076389	0.476743056	0.469805556	0.475604167	0.563555556	0.597006944	0.590631944	0.596145833	0.561013889	0.594416667	0.612326389	0.602791667	0.623972222	0.629236111	0.594020833	0.560104167	0.530993056	0.542479167	0.510680556	0.520611111	0.492291667	0.521090278	0.461645833
E2F7_22180533_ChIP-Seq_HELA_Human	0.857861111	0.893215278	0.837041667	0.879604167	0.857604167	0.826486111	0.868604167	0.8348125	0.872694444	0.849555556	0.876	0.893020833	0.812701389	0.682625	0.896965278	0.85825	0.881215278	0.742041667	0.707611111	0.880951389	0.777180556	0.867354167	0.906791667	0.9099375	0.892430556	0.776361111	0.8549375	0.808347222	0.911819444	0.883256944	0.730645833	0.558944444	0.576090278	0.848736111	0.858604167	0.737715278	0.862777778	0.845652778	0.737395833	0.765847222	0.738215278	0.823125	0.736173611	0.609527778
CIITA_18437201_ChIP-ChIP_Raji_B_and_iDC_Human	0.552326389	0.557451389	0.567243056	0.525673611	0.5378125	0.5285	0.475451389	0.480256944	0.454965278	0.453868056	0.463256944	0.483041667	0.470319444	0.4304375	0.506722222	0.511041667	0.432979167	0.492854167	0.493458333	0.437020833	0.469625	0.550152778	0.531972222	0.548777778	0.543701389	0.538791667	0.446263889	0.487486111	0.478819444	0.593625	0.556479167	0.435875	0.462854167	0.424694444	0.426604167	0.350277778	0.461847222	0.4334375	0.412347222	0.452444444	0.492979167	0.513902778	0.476868056	0.499618056
TAL1_26923725_Chip-Seq_MACROPHAGESS_Mouse	0.447453704	0.462837963	0.457467593	0.407921296	0.426226852	0.431439815	0.413578704	0.425685185	0.427819444	0.429337963	0.403115741	0.450111111	0.475097222	0.457828704	0.384143519	0.459703704	0.412351852	0.385138889	0.424527778	0.421384259	0.374722222	0.417333333	0.400949074	0.416976852	0.42712963	0.488134259	0.388152778	0.386527778	0.431731481	0.430643519	0.462550926	0.551453704	0.537921296	0.43125463	0.44062963	0.52375463	0.481768519	0.498476852	0.483050926	0.458412037	0.396972222	0.464185185	0.441833333	0.487078704
SOX9_22984422_ChIP-ChIP_TESTIS_Rat	0.64064375	0.57234375	0.63561875	0.608475	0.5719375	0.60738125	0.650075	0.59606875	0.60754375	0.59574375	0.63344375	0.6438375	0.64168125	0.66075625	0.66329375	0.7124	0.6212	0.57770625	0.59459375	0.58111875	0.6206625	0.561425	0.58469375	0.58594375	0.56553125	0.58206875	0.61776875	0.654125	0.5781125	0.55824375	0.55745625	0.57070625	0.56345625	0.6387875	0.64050625	0.62535625	0.64575	0.61969375	0.57298125	0.5926875	0.57426875	0.55135	0.58205625	0.5253
EGR1_19374776_ChIP-ChIP_THP-1_Human	0.700969512	0.682045732	0.690734756	0.666088415	0.667484756	0.68742378	0.680917683	0.72022561	0.737210366	0.731112805	0.67372561	0.673045732	0.626189024	0.675655488	0.681091463	0.699871951	0.689920732	0.661387195	0.667646341	0.65342378	0.705868902	0.709862805	0.692463415	0.700439024	0.691820122	0.670359756	0.694344512	0.718978659	0.700753049	0.70127439	0.649204268	0.647006098	0.63225	0.63732622	0.640408537	0.637765244	0.64310061	0.621884146	0.624503049	0.671375	0.701405488	0.660341463	0.689634146	0.668893293
RUNX1_26923725_Chip-Seq_MACROPHAGESS_Mouse	0.554467593	0.546805556	0.538162037	0.556615741	0.460175926	0.468800926	0.449486111	0.500731481	0.49475463	0.501296296	0.497125	0.416972222	0.444462963	0.428300926	0.496467593	0.540027778	0.467055556	0.448541667	0.444675926	0.489680556	0.53849537	0.494759259	0.475972222	0.505217593	0.458472222	0.519712963	0.441236111	0.442217593	0.502444444	0.517041667	0.501273148	0.49387963	0.449388889	0.478625	0.479726852	0.453356481	0.479819444	0.469875	0.468865741	0.514574074	0.468930556	0.477638889	0.504671296	0.495615741
ZNF263_19887448_ChIP-Seq_K562_Human	0.51265	0.549113889	0.558833333	0.737127778	0.616622222	0.580216667	0.584855556	0.667391667	0.653869444	0.657202778	0.634780556	0.573944444	0.549677778	0.548280556	0.548894444	0.543683333	0.544827778	0.707586111	0.704652778	0.638386111	0.651694444	0.611636111	0.580716667	0.595608333	0.621480556	0.620727778	0.61455	0.627325	0.666652778	0.681766667	0.660802778	0.5587	0.576652778	0.608197222	0.601888889	0.593247222	0.610952778	0.590202778	0.573925	0.575833333	0.561188889	0.592694444	0.590183333	0.578338889
GLI1_17442700_ChIP-ChIP_MESCs_Mouse	0.376494565	0.407722826	0.379597826	0.402771739	0.502222826	0.525527174	0.462097826	0.358891304	0.356706522	0.354929348	0.391065217	0.476179348	0.50163587	0.520820652	0.3305	0.30738587	0.311706522	0.417565217	0.427331522	0.425048913	0.338690217	0.36025	0.345913043	0.344005435	0.381309783	0.427445652	0.373543478	0.338951087	0.370065217	0.366717391	0.46413587	0.575565217	0.566434783	0.446972826	0.458043478	0.446836957	0.489304348	0.479983696	0.455086957	0.54436413	0.55626087	0.543929348	0.571184783	0.559070652
GATA2_26923725_Chip-Seq_HEMANGIOBLAST_Mouse	0.429831897	0.431525862	0.463577586	0.38624569	0.499267241	0.49512069	0.445599138	0.4075	0.40274569	0.413698276	0.371142241	0.37637931	0.394577586	0.383030172	0.360642241	0.457844828	0.373978448	0.371172414	0.363094828	0.387987069	0.385840517	0.405616379	0.431741379	0.398172414	0.432103448	0.443461207	0.385793103	0.407784483	0.381719828	0.40412931	0.470883621	0.482943966	0.477073276	0.379866379	0.387327586	0.400344828	0.43762931	0.468762931	0.419181034	0.454025862	0.469827586	0.494784483	0.479323276	0.512465517
TRIM28_21343339_ChIP-Seq_HEK293_Human	0.341337766	0.347890957	0.335199468	0.586534574	0.432428191	0.43381117	0.373555851	0.467537234	0.494507979	0.469632979	0.414582447	0.349941489	0.379819149	0.362960106	0.311952128	0.317539894	0.299619681	0.437720745	0.445340426	0.493611702	0.511021277	0.368805851	0.364606383	0.371890957	0.367111702	0.455071809	0.392590426	0.409606383	0.509819149	0.447276596	0.557093085	0.482268617	0.528821809	0.331803191	0.329582447	0.38218883	0.394260638	0.413744681	0.404518617	0.47949734	0.442757979	0.585805851	0.600579787	0.561026596
